id,host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,neighbourhood_cleansed,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
8485995,44546458,Afam,9/19/15,1,1,1,"North Michigan Park, Michigan Park, University Heights",MD,20712,38.94550838,-76.97051506,Apartment,Entire home/apt,2,1,1,1,0,100,550,0,0,0,1,0,1,1125,30,60,90,365,0,,,0,0,0,0,0,0,0,0
8607216,45276150,Francoise,9/28/15,0,0,3,"Takoma, Brightwood, Manor Park",MD,20912,38.9841984,-77.01999601,Bed & Breakfast,Private room,2,1,1,1,0,225,0,0,0,0,1,0,1,1125,30,60,90,365,0,,,0,0,0,0,0,0,0,0
8568945,2245859,Narae,4/28/12,0,0,1,"Takoma, Brightwood, Manor Park",MD,20912,38.98289926,-77.01764883,House,Entire home/apt,7,3,4,3,0,129,799,2700,99,99,1,0,14,1125,0,0,30,120,0,,,0,0,0,0,0,0,0,0
333613,966914,Annie,8/14/11,1,1,1,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",DC,20008,38.9287606,-77.04808778,Apartment,Entire home/apt,1,1,1,1,550,149,999,2499,0,0,1,99,3,31,0,8,8,18,46,3/11/12,10/1/15,100,10,10,10,10,10,10,1.06
1026034,2070536,Joel,4/4/12,1,1,2,"Shaw, Logan Circle",DC,20005,38.90901842,-77.03317774,Apartment,Entire home/apt,4,1,1,2,0,150,1100,3700,100,30,2,20,2,365,16,46,76,351,84,5/20/13,9/30/15,99,10,10,10,10,10,9,2.91
2486785,12725500,Mayrose,3/2/14,0.53,0.69,1,"Shaw, Logan Circle",DC,20005,38.90683107,-77.02987558,Apartment,Entire home/apt,4,1.5,1,1,0,175,1000,3100,0,25,2,25,1,1125,26,56,86,361,25,4/7/14,8/1/15,91,10,8,9,9,10,9,1.38
1822257,9540128,Matt,10/20/13,1,1,1,"Shaw, Logan Circle",DC,20001,38.91285513,-77.02218393,House,Entire home/apt,3,1,2,2,0,239,0,3500,0,50,1,0,5,1125,10,40,70,345,4,12/16/13,8/8/14,100,9,10,10,10,9,10,0.18
5220279,22207701,Trevor,10/6/14,0.56,0.83,1,"Shaw, Logan Circle",DC,20001,38.90602533,-77.02140581,Apartment,Private room,4,1,1,2,0,65,425,1500,0,0,2,0,2,1125,6,33,63,63,2,8/13/15,8/28/15,100,10,10,10,10,10,10,1.15
3419118,12772446,Helen,3/3/14,0.52,0.84,1,"Shaw, Logan Circle",DC,20001,38.90836544,-77.02282043,Apartment,Private room,2,1,1,1,0,71,500,0,0,12,2,25,2,14,10,23,49,319,83,6/30/14,9/25/15,97,10,9,10,10,9,9,5.4
805961,4240274,Charlie,11/25/12,0.97,1,3,"Shaw, Logan Circle",DC,20001,38.90823242,-77.02509194,Apartment,Entire home/apt,2,1,1,1,0,80,0,0,0,0,1,0,1,1125,9,34,64,123,19,7/19/15,9/27/15,89,9,9,9,9,9,9,7.4
3362,2798,Ayeh,9/7/08,1,1,3,"Shaw, Logan Circle",DC,20001,38.91046091,-77.01933068,House,Private room,4,2.5,1,3,0,250,0,0,0,0,2,125,1,730,14,35,65,340,94,1/21/09,6/12/15,95,9,9,10,10,8,9,1.15
93551,481929,Chris,4/3/11,0.9,1,5,"Shaw, Logan Circle",DC,20001,38.9123512,-77.0187326,House,Private room,2,1,1,1,0,138,1000,2494,250,50,1,20,1,365,30,60,90,365,47,4/19/11,9/17/15,92,9,8,10,10,8,9,0.87
